,full_address,url,lat,long
51,"3375 CARMICHAEL DR Forsyth County, GA","https://www.google.com/maps/search/3375%20CARMICHAEL%20DR%20Forsyth%20County,%20GA",34.25223,-84.194878
52,"3375 CARMICHAEL DR Forsyth County, GA","https://www.google.com/maps/search/3375%20CARMICHAEL%20DR%20Forsyth%20County,%20GA",34.25223,-84.194878
53,"325 LAUREL OAK DR Forsyth County, GA","https://www.google.com/maps/search/325%20LAUREL%20OAK%20DR%20Forsyth%20County,%20GA",34.1058413,-84.1550138
54,"2295 MANOR POINTE DR Forsyth County, GA","https://www.google.com/maps/search/2295%20MANOR%20POINTE%20DR%20Forsyth%20County,%20GA",34.1861163,-84.1062966
55,"5150 FIELDGATE RIDGE DR Forsyth County, GA","https://www.google.com/maps/search/5150%20FIELDGATE%20RIDGE%20DR%20Forsyth%20County,%20GA",34.2992154,-84.0862065
56,"8040 BETHEL RD Forsyth County, GA","https://www.google.com/maps/search/8040%20BETHEL%20RD%20Forsyth%20County,%20GA",34.2396,-83.9976748
57,"5674 LAKEVIEW CT Forsyth County, GA","https://www.google.com/maps/search/5674%20LAKEVIEW%20CT%20Forsyth%20County,%20GA",34.313259,-83.9565133
58,"3155 STOCK SADDLE PL Forsyth County, GA","https://www.google.com/maps/search/3155%20STOCK%20SADDLE%20PL%20Forsyth%20County,%20GA",34.2996163,-84.2420026
59,"3610 CHATTAHOOCHEE RD Forsyth County, GA","https://www.google.com/maps/search/3610%20CHATTAHOOCHEE%20RD%20Forsyth%20County,%20GA",34.241844,-84.0743267
60,"855 EARLHAM DR Forsyth County, GA","https://www.google.com/maps/search/855%20EARLHAM%20DR%20Forsyth%20County,%20GA",34.123577,-84.1330214
61,"3875 RILANDITE CV Forsyth County, GA","https://www.google.com/maps/search/3875%20RILANDITE%20CV%20Forsyth%20County,%20GA",34.2095843,-84.2313785
62,"3610 WATSON RD Forsyth County, GA","https://www.google.com/maps/search/3610%20WATSON%20RD%20Forsyth%20County,%20GA",34.2583706,-84.2055021
63,"6265 CARLYS WAY Forsyth County, GA","https://www.google.com/maps/search/6265%20CARLYS%20WAY%20Forsyth%20County,%20GA",34.32142,-83.9798239
64,"3575 GRANTON ST Forsyth County, GA","https://www.google.com/maps/search/3575%20GRANTON%20ST%20Forsyth%20County,%20GA",34.164599,-84.256024
65,"4120 SIERRA KNOLLS CT Forsyth County, GA","https://www.google.com/maps/search/4120%20SIERRA%20KNOLLS%20CT%20Forsyth%20County,%20GA",34.271988,-84.105738
66,"3245 STOCK SADDLE PL Forsyth County, GA","https://www.google.com/maps/search/3245%20STOCK%20SADDLE%20PL%20Forsyth%20County,%20GA",34.2996163,-84.2420026
67,"3165 STOCK SADDLE PL Forsyth County, GA","https://www.google.com/maps/search/3165%20STOCK%20SADDLE%20PL%20Forsyth%20County,%20GA",34.2996163,-84.2420026
68,"3822 HOLLIWELL PASS Forsyth County, GA","https://www.google.com/maps/search/3822%20HOLLIWELL%20PASS%20Forsyth%20County,%20GA",34.267835,-84.0973051
69,"3722 HUMBER CT Forsyth County, GA","https://www.google.com/maps/search/3722%20HUMBER%20CT%20Forsyth%20County,%20GA",34.2651042,-84.0952469
70,"2885 CROSS CREEK CT Forsyth County, GA","https://www.google.com/maps/search/2885%20CROSS%20CREEK%20CT%20Forsyth%20County,%20GA",34.1609934,-84.1892528
71,"3725 ANDOVER ST Forsyth County, GA","https://www.google.com/maps/search/3725%20ANDOVER%20ST%20Forsyth%20County,%20GA",34.2730708,-84.1849224
72,"4870 YORKSHIRE LN Forsyth County, GA","https://www.google.com/maps/search/4870%20YORKSHIRE%20LN%20Forsyth%20County,%20GA",34.0910433,-84.1432044
73,"6505 AKINS WAY Forsyth County, GA","https://www.google.com/maps/search/6505%20AKINS%20WAY%20Forsyth%20County,%20GA",34.255305,-84.034024
74,"2990 BROOKFIELD CIR Forsyth County, GA","https://www.google.com/maps/search/2990%20BROOKFIELD%20CIR%20Forsyth%20County,%20GA",34.2272629,-84.1900161
75,"6640 BUCKINGHAM CIR Forsyth County, GA","https://www.google.com/maps/search/6640%20BUCKINGHAM%20CIR%20Forsyth%20County,%20GA",34.1745311,-84.2151582
76,"4390 EVANS FARMS DR Forsyth County, GA","https://www.google.com/maps/search/4390%20EVANS%20FARMS%20DR%20Forsyth%20County,%20GA",34.2342821,-84.2379436
77,"3745 ANDOVER ST Forsyth County, GA","https://www.google.com/maps/search/3745%20ANDOVER%20ST%20Forsyth%20County,%20GA",34.2730708,-84.1849224
78,"4025 RAEBURN RD Forsyth County, GA","https://www.google.com/maps/search/4025%20RAEBURN%20RD%20Forsyth%20County,%20GA",34.258234,-84.185213
79,"5645 RILEY RD Forsyth County, GA","https://www.google.com/maps/search/5645%20RILEY%20RD%20Forsyth%20County,%20GA",34.306825,-84.125432
80,"7511 A C SMITH RD Forsyth County, GA","https://www.google.com/maps/search/7511%20A%20C%20SMITH%20RD%20Forsyth%20County,%20GA",34.3305666,-84.0773183
81,"6845 PAYTON RD Forsyth County, GA","https://www.google.com/maps/search/6845%20PAYTON%20RD%20Forsyth%20County,%20GA",34.3133493,-84.0530636
82,"113 11TH ST Forsyth County, GA","https://www.google.com/maps/search/113%2011TH%20ST%20Forsyth%20County,%20GA",34.2187183,-84.1404424
83,"2849 MIDDLECREEK WAY Forsyth County, GA","https://www.google.com/maps/search/2849%20MIDDLECREEK%20WAY%20Forsyth%20County,%20GA",34.1776377,-84.1246425
84,"5760 ADIRONDACK DR Forsyth County, GA","https://www.google.com/maps/search/5760%20ADIRONDACK%20DR%20Forsyth%20County,%20GA",34.2163309,-84.207084
85,"4165 GOLDEN KNOLL RD Forsyth County, GA","https://www.google.com/maps/search/4165%20GOLDEN%20KNOLL%20RD%20Forsyth%20County,%20GA",34.279585,-84.1889888
86,"5025 STALLIONS GAIT RD Forsyth County, GA","https://www.google.com/maps/search/5025%20STALLIONS%20GAIT%20RD%20Forsyth%20County,%20GA",34.195728,-84.2034728
87,"3130 WILLS MILL RD Forsyth County, GA","https://www.google.com/maps/search/3130%20WILLS%20MILL%20RD%20Forsyth%20County,%20GA",34.1235789,-84.1903148
88,"5055 HASTINGS TER Forsyth County, GA","https://www.google.com/maps/search/5055%20HASTINGS%20TER%20Forsyth%20County,%20GA",34.0950482,-84.2048843
89,"1845 STARDUST TRL Forsyth County, GA","https://www.google.com/maps/search/1845%20STARDUST%20TRL%20Forsyth%20County,%20GA",34.2026911,-84.1711063
90,"5608 LANCASHIRE LN Forsyth County, GA","https://www.google.com/maps/search/5608%20LANCASHIRE%20LN%20Forsyth%20County,%20GA",34.1413497,-84.1214757
91,"1638 BROOKMERE WAY Forsyth County, GA","https://www.google.com/maps/search/1638%20BROOKMERE%20WAY%20Forsyth%20County,%20GA",34.2289697,-84.1167142
92,"3225 NEW MAINE TRL Forsyth County, GA","https://www.google.com/maps/search/3225%20NEW%20MAINE%20TRL%20Forsyth%20County,%20GA",34.1715453,-84.0941491
93,"5810 WOODBERRY WALK Forsyth County, GA","https://www.google.com/maps/search/5810%20WOODBERRY%20WALK%20Forsyth%20County,%20GA",34.3213102,-84.0764265
94,"9271 HORSESHOE BND Forsyth County, GA","https://www.google.com/maps/search/9271%20HORSESHOE%20BND%20Forsyth%20County,%20GA",34.241565,-83.9839127
95,"6263 CREEKSTONE PATH Forsyth County, GA","https://www.google.com/maps/search/6263%20CREEKSTONE%20PATH%20Forsyth%20County,%20GA",34.151434,-84.1276612
96,"3119 CHAMBLEE GAP RD Forsyth County, GA","https://www.google.com/maps/search/3119%20CHAMBLEE%20GAP%20RD%20Forsyth%20County,%20GA",34.2276549,-84.1973889
97,"2960 BUFORD DAM RD Forsyth County, GA","https://www.google.com/maps/search/2960%20BUFORD%20DAM%20RD%20Forsyth%20County,%20GA",34.1776662,-84.0820824
98,"8620 HALFORD WAY Forsyth County, GA","https://www.google.com/maps/search/8620%20HALFORD%20WAY%20Forsyth%20County,%20GA",34.2988297,-84.2261146
99,"5130 PRANCING PASS Forsyth County, GA","https://www.google.com/maps/search/5130%20PRANCING%20PASS%20Forsyth%20County,%20GA",34.2294472,-84.2225484
100,"5130 IVY NOLE Forsyth County, GA","https://www.google.com/maps/search/5130%20IVY%20NOLE%20Forsyth%20County,%20GA",34.187222,-84.1909223
101,"2360 HOLLIE LN Forsyth County, GA","https://www.google.com/maps/search/2360%20HOLLIE%20LN%20Forsyth%20County,%20GA",34.236906,-84.1834663
